"Ã¯..SDG.goal","entity.code","calendar.year","amount"
1,"ILO",2020,40307289.05
1,"UNAIDS",2020,0
1,"UNCDF",2020,38411428.05
1,"UNDP",2020,1049961743
1,"UNESCO",2020,151593
1,"UNHCR",2020,899883895.2
1,"UNICEF",2020,332753704.41
1,"UNIDO",2020,24444776.16
1,"UNITAR",2020,51554.63
1,"UNWOMEN",2020,10300231.64
2,"IFAD",2020,190620000
2,"ILO",2020,687123.58
2,"UNCDF",2020,918016.08
2,"UNDP",2020,57594679
2,"UNESCO",2020,360169
2,"UNICEF",2020,494756801.96
2,"UNIDO",2020,16748403.58
2,"UNITAR",2020,80223.77
2,"UNOPS",2020,34961521.78
2,"WFP",2020,7243182289.21
2,"WHO",2020,14923689
3,"IARC",2020,53895347.24
3,"ILO",2020,14153661.59
3,"UNDP",2020,450684635
3,"UNESCO",2020,2554487
3,"UNFPA",2020,793065407.11
3,"UNHCR",2020,417837329.4
3,"UNICEF",2020,1294458171.88
3,"UNIDO",2020,5836109.67
3,"UNITAID",2020,257250000
3,"UNITAR",2020,1620094.39
3,"UNOPS",2020,191489954.7
3,"UNWOMEN",2020,5762348.97
3,"WHO",2020,3446009121
4,"ILO",2020,38803528.18
4,"UNDP",2020,77585654
4,"UNESCO",2020,150247782
4,"UNHCR",2020,193370102
4,"UNICEF",2020,1036807474.44
4,"UNIDO",2020,636558.53
4,"UNITAR",2020,1281340.75
4,"UNOPS",2020,16865695.09
4,"UNWOMEN",2020,6019165.75
5,"ILO",2020,43329575.68
5,"UNCDF",2020,2020214.22
5,"UNDP",2020,71476586
5,"UNESCO",2020,13581084
5,"UNFPA",2020,263003882.85
5,"UNHCR",2020,107508348.7
5,"UNICEF",2020,8064734.41
5,"UNIDO",2020,10624799
5,"UNITAR",2020,1369329.76
5,"UNOPS",2020,1626949.22
5,"UNWOMEN",2020,309063677.8
5,"WHO",2020,4624773
6,"ILO",2020,1367204.52
6,"UNCDF",2020,461289.01
6,"UNDP",2020,30269897
6,"UNESCO",2020,4619968
6,"UNHCR",2020,130680538
6,"UNICEF",2020,901172244.23
6,"UNIDO",2020,101492.03
6,"UNITAR",2020,83891.18
6,"UNOPS",2020,32479024.95
7,"UNCDF",2020,3997325.56
7,"UNDP",2020,57751714
7,"UNESCO",2020,235640
7,"UNIDO",2020,25109554.67
7,"UNITAR",2020,391185.5
7,"UNOPS",2020,35314728.54
8,"ILO",2020,396120624.57
8,"UNCDF",2020,12988371.52
8,"UNDP",2020,92527468
8,"UNESCO",2020,6966796
8,"UNHCR",2020,112189757
8,"UNIDO",2020,1825834.1
8,"UNITAR",2020,991610.51
8,"UNOPS",2020,11224092.57
8,"UNWOMEN",2020,19681440.24
9,"ILO",2020,4891681.86
9,"OPCW",2020,88600299.39
9,"UNDP",2020,83541850
9,"UNESCO",2020,2515046
9,"UNICEF",2020,674916.67
9,"UNIDO",2020,115233704.25
9,"UNITAR",2020,277611.01
9,"UNOPS",2020,96795194.5
9,"WHO",2020,5185
10,"ILO",2020,37632155.62
10,"UNDP",2020,80141810
10,"UNESCO",2020,3138472
10,"UNFPA",2020,25654094.89
10,"UNHCR",2020,121376225.5
10,"UNICEF",2020,27110254.16
10,"UNIDO",2020,339852.5
10,"UNITAR",2020,131401.2
10,"UNOPS",2020,63101368.41
10,"WHO",2020,404089
11,"ILO",2020,100012.61
11,"UNCDF",2020,1422622.18
11,"UNDP",2020,88084295
11,"UNESCO",2020,29068006
11,"UNFPA",2020,12357264.62
11,"UNHCR",2020,435251736
11,"UNIDO",2020,4666957.69
11,"UNITAR",2020,1581232.78
11,"UNOPS",2020,114048836.5
11,"UNWOMEN",2020,8271271.01
12,"ILO",2020,611898.7
12,"UNDP",2020,77197918
12,"UNESCO",2020,1173328
12,"UNIDO",2020,12371069.37
12,"UNITAR",2020,1734004.62
13,"ILO",2020,2879776.68
13,"UNCDF",2020,13209702.52
13,"UNDP",2020,294084690
13,"UNESCO",2020,4985960
13,"UNFCCC",2020,73229083
13,"UNICEF",2020,827080.71
13,"UNIDO",2020,54568869.33
13,"UNITAR",2020,3211657.92
13,"UNOPS",2020,51467426.74
13,"UNWOMEN",2020,7389581.8
14,"ILO",2020,126640.03
14,"UNDP",2020,32727465
14,"UNESCO",2020,4031155
14,"UNIDO",2020,306770.71
14,"UNITAR",2020,20353.89
14,"UNOPS",2020,466587.33
15,"ILO",2020,472244.62
15,"UNDP",2020,170239273
15,"UNESCO",2020,2663395
15,"UNIDO",2020,306771.59
15,"UNITAR",2020,33283.41
15,"UNOPS",2020,628220.52
16,"CTBTO",2020,113298823
16,"ICC",2020,191354717.79
16,"ILO",2020,39690864.46
16,"ITLOS",2020,0
16,"UN-DPO",2020,7336866636
16,"UNDP",2020,1271308041
16,"UNESCO",2020,17644316
16,"UNFPA",2020,24240885.9
16,"UNHCR",2020,359614996.1
16,"UNICEF",2020,606504135.86
16,"UNIDO",2020,412445.72
16,"UNITAR",2020,12620901.39
16,"UNOPS",2020,361377996.7
16,"UNWOMEN",2020,69393287.98
17,"ILO",2020,22889309.8
17,"UNCDF",2020,8240598.58
17,"UNDP",2020,230347215
17,"UNESCO",2020,15356622
17,"UNFPA",2020,109780085.13
17,"UNHCR",2020,492172525.5
17,"UNICEF",2020,1029617368.26
17,"UNIDO",2020,11015937.93
17,"UNITAR",2020,1641369.74
17,"UNOPS",2020,128877294.6
17,"UNWOMEN",2020,3628994.78
17,"WFP",2020,956751098.52
17,"WHO",2020,95337928
17,"WTO",2020,289073673.84
